Produto,Variação 1,Variação 2,Preço,SKU,Estampa,Material,Tamanho/Medidas,Título,Descrição,Link da Imagem
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00001,Personalizacoes Diversas,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00001/01 - Caneca Personalizada Com Caricatura Envio Rápido 325ml (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00003,Administador(a) de Empresas,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00003/Administração 01 (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00004,Advogado,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00004/Direito 01 (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00008,Biomedico(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00008/Biomedicina 01 (4).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00011,Dentista,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00011/Odontologia 01 (6).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00014,Educacao Fisica,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00014/Educação Física 01 (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00015,Enfermeiro(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00015/Tecnico em Efermagem 01 (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00016,Engenheiro(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00016/Engenharia Cívil MASC 01 (3)~1.jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00019,Fisioterapeuta,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00019/Fisioterapia 01 (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00020,Fonoaudiologo(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00020/Fonoaudiologia 01 (4).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00023,Medico(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00023/Medicina 01 (4).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00024,Nutricionista,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00024/Nutricionista 01 (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00027,Professor(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00027/Professor 01 (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00029,Psicologo(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00029/Psicologia 01 (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00032,Tecnico(a) em Enfermagem,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00032/Tecnico em Efermagem 01 (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00033,Veterinario(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00033/Veterinário 01 (2).jpg?raw=true
Caneca,Personalizada,Caneca Magica 325ml," R$  39,90 ",01.P00034,Personalizacoes Diversas,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00034/03 - Caneca Magica De Porcelana Personalizada Com Sua Foto (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00035,Administador(a) de Empresas,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00035/Administrador (3).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00036,Advogado,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00036/Advogado (3).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00042,Contador(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00042/Contador (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00043,Dentista,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00043/Dentista (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00046,Educacao Fisica,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00046/Educação Física (3).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00047,Enfermeiro(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00047/Enfermeiro (3).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00048,Engenheiro(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00048/Engenharia Cívil (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00055,Medico(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00055/Medicina (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00056,Nutricionista,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00056/Nutricionista (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00059,Professor(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00059/Professor (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00061,Psicologo(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00061/Psicologo (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00065,Veterinario(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00065/Veterinário (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00066,Personalizacoes Diversas,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00066/Com Logo (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00068,Personalizacoes Diversas,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00068/Com Nome (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00070,Administador(a) de Empresas,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00070/0001 - Copia.jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00071,Advogado,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00071/0002 - Copia (3).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00073,Arquiteto(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00073/0003 - Copia (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00081,Educacao Fisica,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00081/0010 - Copia (3).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00082,Enfermeiro(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00082/0012 - Copia.jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00085,Farmaceutico(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00085/0015 - Copia (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00090,Medico(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00090/0023 - Copia.jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00094,Professor(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00094/0026 - Copia (3).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  34,90 ",01.P00100,Veterinario(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00100/0033 - Copia.jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00101,Sr e Sra,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00101/C (15).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00102,Pesca,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00102/C (14).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00103,Noivo e Noiva na Moto,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00103/B (13).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00104,Super Chefe,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00104/B (12).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00105,Pescador,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00105/A (11).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00106,Tenista,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00106/A (10).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00107,Logomarca,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00107/C (9).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00109,Corredor(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00109/A (6).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00110,Fitness,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00110/C (5).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00111,Basquete,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00111/B (4).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00113,Corredora,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00113/A (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00114,Administrador(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00114/Super Chefe (2).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00115,Bombeiro,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00115/Bombeiro (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00117,Chef de Cozinha,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00117/Chefe de Cozinha (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00118,Enfermagem,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00118/Enfermeira (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00119,Engenheiro(a),Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00119/Engenheiro (1).jpg?raw=true
Caneca,Personalizada,Caneca Branca 325ml," R$  39,90 ",01.P00120,Futebol,Porcelana,325ml,,,https://github.com/Lucas-Henrique-Lopes-Costa/personalziados/blob/main/cara%20caneca/images/01. Canecas/P00120/Futebol (2).jpg?raw=true
